"step";"bible_ref";"bible_ref_positive_negative";"bible_ref_origin";"bible_ref_author";"bible_ref_type";"category";"title_nl";"title_ot_nl";"title_ot_en";"title_ot_code";"title_en";"title_negative_en";"devotional_en";"devotional_nl";"devotional_source";"questions";"quote";"quote_source"
4;"Gen 48:4";"positive";;"HEERE";"direct";"Discipleship Commands";;;;;;;;;;;;
4;"Lev 26:9";"positive";;"HEERE";"indirect";"Discipleship Commands";;;;;;;;;;;;
4;"Jer 3:16";"negative";;"HEERE";"indirect";"Discipleship Commands";;;;;;;;;;;;
4;"Mat 21:19";"negative";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
4;"Mat 21:43";"both";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
4;"Mat 13:23";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;;;
4;"Mar 4:26-29";"positive";;"Jesus";"study";"Discipleship Commands";;;;;;;;;;;;
4;"Luk 3:9";"negative";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
4;"Luk 8:15";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
4;"Luk 13:6-9";"both";;"Jesus";"study";"Discipleship Commands";;;;;;;;;;;;
4;"Joh 15:1-8";"both";;"Jesus";"study";"Discipleship Commands";;;;;;;;;;;;
4;"Joh 15:14-16";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;;;
4;"Gal 5:22-25";"positive";;"Paul";"example";"Discipleship Commands";;;;;;;;;;;;
4;"Ps 92:13-16";"positive";;"Unknown";"indirect";"Discipleship Commands";;;;;;;;;;;;
5;"Mat 4:10";"positive";;"Jesus";"primary";"Worship Commands";"De Heere, uw God, zult u aanbidden en Hem alleen dienen.";"Geloof en weet dat G-d Één is, een complete Eenheid ";"To know that G-d is One, a complete Unity";"CCA2";"Worship the Lord your God, and Him only shalt thou serve";"No servant can serve two masters";;;;;"Words which do not give the light of Christ increase the darkness";"Mother Teresa"
5;"Luk 4:8";"positive";;"Jesus";"duplicate";"Worship Commands";;"Bid tot G-d ";"To pray to G-d";"CCA7";;;;;;;;
5;"Luk 16:13";"negative";;"Jesus";"direct";"Worship Commands";;"Hang G-d aan ";"Cleaving to Him";"CCA16";;;;;;;;
5;"Deut 6:13";"positive";"CCA7";"Moses";"direct";"Worship Commands";;"Je mag niet geloven dat er meerdere goden bestaan naast de Eeuwige Zelf";"Not to entertain the idea that there is any god but the Eternal";"CCN8";;;;;;;;
5;"Deut 10:20";"positive";"CCA16";"Moses";"duplicate";"Worship Commands";;;;;;;;;;;;
5;"Deut 13:4";"positive";"Torah";"Moses";"indirect";"Worship Commands";;;;;;;;;;;;
5;"Joh 4:23-24";"positive";;"Jesus";"direct";"Worship Commands";;;;;;;;;;;;
5;"Joh 12:26";"positive";;"Jesus";"indirect";"Worship Commands";;;;;;;;;;;;
5;"1 Sam 2:30";"both";;"HEERE";"indirect";"Worship Commands";;;;;;;;;;;;
5;"1 Sam 7:3-4";"both";;"Samuel";"direct";"Worship Commands";;;;;;;;;;;;
5;"1 Kor 7:35";"positive";;"Paul";"direct";"Worship Commands";;;;;;;;;;;;
5;"Ruth 1:16-18";"positive";;"Ruth";"example";"Worship Commands";;;;;;;;;;;;
5;"Joz 24:19-24";"both";;"Joshua";"direct";"Worship Commands";;;;;;;;;;;;
5;"1 Kon 8:23";"positive";;"Solomon";"example";"Worship Commands";;;;;;;;;;;;
5;"1 Kon 8:60";"positive";;"Solomon";"example";"Worship Commands";;;;;;;;;;;;
5;"1 Kon 18:36-39";"positive";;"Elijah";"example";"Worship Commands";;;;;;;;;;;;
5;"2 Kon 17:13-19";"negative";;"Undetermined";"study";"Worship Commands";;;;;;;;;;;;
5;"Ex 20:3";"negative";"CCN8";"HEERE";"direct";"Worship Commands";;;;;;;;;;;;
